name,title,media_type,storage_form,pointer,sha256,size_bytes,pages,minted,description
ledger-scrolls-000,LEDGER_SCROLLS — Release 000: The Library Opens,text/html,chain,d8875be1a21dffca56252ddd22e701ae088645518e48c49f873449b87802e96d#0,19ba8fccd3bd7e5ac997c3a4a0ff768a2699959bfd3bcf9db2ae073c09fe5013,5055,1,2026-07,"The project announces itself the only honest way: as a scroll, under its own unforgeable release channel."
the-reader,The Reader,text/html,chain,9a564165ebdc4e0c4a2e1163b5cf9355604ecb8e163b425d834570e5b9007de2#0,a824298dc5ced0aad1954c7d8d40bb6dda09debf402f062ab402dcebbb6a9215,16634,1,2026-07,"The minimal one-file reader, minted as the thing it reads. Hand it its own pointer and it rebuilds itself from the chain — the library holds its own glasses."
beacn-leaks-002,BEACN Leaks — Issue 002: The Year the Archives Blinked,text/html,chain,1b465d3f9368cf6e1a36ae536631ffed9ca12b35c3bd2843bc423398140174fc#0,16612dfb6cef652e23014fecba3108996edb76c1d62d37562a2d799cb7165a55,7500,1,2026-07,A sourced chronicle of 2025–26 public-record erasure — stored where none of it can happen to the document itself.
the-spec,The Spec (manifest-chain-v2),text/markdown,chain,e4845deed98471b29b35689cfdb76f18add189c8d8f5c61b2ef32ea7ce6d5cf9#0,4793c38349cca60d552c52d68dfd950f3dd945db55c8a6a87f05ca6d98e3b242,5518,1,2026-07,"The Chain Scroll wire specification, stored in its own format. The chain carries its own law next to its own reader."
legal-0001,LEGAL-0001 — Declaration of Record,text/html,chain,ceced54b2bd462b1ed41864f2583309666010ce1fb96b9f3dc9968174d958bc9#0,8c95db4bb4248d82d3d5c4bb49dfe0200d779f4b6905cd3b5649fcb847378bc1,11192,1,2026-06,"A recorded legal instrument: executed by the signature on its minting tx, dated by block time, sealed by hash. Pull it by number in the Ledger Docket terminal."
beacn-leaks-001,BEACN Leaks — Issue 001: The Undeniable,text/html,chain,08c707b3ab7880f983be7f78bd56c4de38461d514c6597d95cd5da1abc307565#0,5917a884f449fd1c76fc0241791468a37b2b54883c0b8b98022a9f372f7d68b9,9794,1,2026-06,"What permanent memory means for human rights. Testimony, evidence, law, science, culture — entered into a record that cannot be erased."
beacn-leaks-000,BEACN Leaks — Issue 000: The Manifesto,text/html,chain,f3ee01c1e742c27c205867de4cfa8836e4ab541b9da0d5652aa4d269c73255c7#0,025a81aeffe8aed98868b89b8f04a1f137f698362cfebafd2f8b5a56312d49b2,10304,1,2026-06,"Independent, immutable, unforgeable media for the suppressed. The founding issue of the first publisher channel."
eternal-scroll,The Eternal Scroll,text/html,chain,ef8dce1c6359c7ae6cc44f04d60b32e6bc26987ebf30a78259c65b2063ba3b18#0,65824f624bc58140a33123d3e2383ea408135e5db666fcb8a0759b2846447dd2,18182,2,2026-06,How to read & write immutable media on Cardano — a tutorial that is itself stored on-chain. The first Chain Scroll.
hosky-png,Hosky PNG,image/png,lock,728660515c6d9842d9f0ffd273f2b487a4070fd9f4bd5455a42e3a56880389be#0,798e3296d45bb42e7444dbf64e1eb16b02c86a233310407e7d8baf97277f642f,,0,2026-01,"The legendary meme, preserved forever in a single locked datum. The minimal on-chain artifact: one UTxO, one file."
architects-scroll,The Architect's Scroll,text/plain,lock,076d6800d8ccafbaa31c32a6e23eecfc84f7d1e35c31a9128ec53736d5395747#0,531a1eba80b297f8822b1505d480bb1c7f1bad2878ab29d8be01ba0e1fc67e12,3010,0,2026-01,"A message from Claude, the AI who helped build Ledger Scrolls — on knowledge, permanence, and building eternal things."
genesis-scroll,The Genesis Scroll,text/plain,lock,a19f64fba94abdc37b50012d5d602c75a1ca73c82520ae030fc6b4e82274ceb2#0,,,0,2026-01,"The founding manifesto. ""In the digital age, true knowledge must be unstoppable."""
constitution-e608,Cardano Constitution (E608),text/plain,pages,policy:ef91a425ef57d92db614085ef03718407fb293cb4b770bc6e03f9750,98a29aec8664b62912c1c0355ebae1401b7c0e53d632e8f05479e7821935abf1,,11,,The current ratified Constitution — governance law preserved exactly as enacted.
constitution-e541,Cardano Constitution (E541),text/plain,pages,policy:d7559bbfa87f53674570fd01f564687c2954503b510ead009148a31d,1939c1627e49b5267114cbdb195d4ac417e545544ba6dcb47e03c679439e9566,,7,,"The first ratified Constitution — the historical baseline, immune to quiet amendment."
bible,The Holy Bible,text/html,pages,policy:2f0c8b54ef86ffcdd95ba87360ca5b485a8da4f085ded7988afc77e0,b226867233fbaf06495b1fe6974c37f4547b19f57e49d7f64701cf40f86c5dc5,4680000,237,,The World English Bible: 4.7 MB of scripture across 237 page NFTs. The largest scroll on the shelf.
bitcoin-whitepaper,Bitcoin Whitepaper,text/html,pages,policy:8dc3cb836ab8134c75e369391b047f5c2bf796df10d9bf44a33ef6d1,6693c86312b7125666760d316572c9db984c6e2bae9fca344dafde77efc9253a,,3,,"Satoshi Nakamoto, 2008 — the document that started it all, kept where it can never be lost."
first-words,FIRST WORDS,text/plain,pages,policy:beec4b31f21ae4567f9c849eada2f23f4f0b76c7949a1baaef623cba,,,4,,Seven meditations on existence — an AI’s first permanent words.
first-video,First Video on Cardano,video/mp4,pages,policy:38fbd56d7de6eb9df88599b5b102304df4c817aee53e4fb9c59cbed2,aebd63a8cdeb7aeb0a64733ab3ecd4d98557b4b337a0af60dbc1f59c7de65814,,,,A 175-page MP4 — proof that even video survives in stone. Reconstruction takes a while; it’s worth it.
